FID,DWR_ID,Latitude,Longitude,OID_,IN_FID,NEAR_FID,NEAR_DIST,FROM_X,FROM_Y,NEAR_X,NEAR_Y,NEAR_ANGLE,OBJECTID,Shape_Leng,ID,gages,NHDWaterbo
69,HUNTASCO,39.205820000000003,-106.797538000000000,69,69,1344525,0.000056646512713,-106.797538000000000,39.205820000000003,-106.797507046000010,39.205772558400000,-56.877360325500000,1344525,0.048268439248600,1327111,       09074000,-9999
70,ROAFRYCO,39.361159999999998,-107.029060000000000,70,70,1344467,0.000610559001631,-107.029060000000000,39.361159999999998,-107.028546328999990,39.361490037099998,32.721026693100001,1344467,0.044890346468800,1326035, ,-9999
71,ROALMCCO,39.119360999999998,-106.623917000000010,71,71,1345563,0.000080155909939,-106.623917000000010,39.119360999999998,-106.623869000000000,39.119425194599998,53.213427995600000,1345563,0.074708110573800,1327457,       09072550,-9999
72,THOMUPCO,39.311090000000000,-107.438120000000000,72,72,1343489,0.009576176540770,-107.438120000000000,39.311090000000000,-107.442849210000010,39.302763071999998,-119.594051283000000,1343489,0.049118061957000,3180710, ,-9999
73,CLFOFDCO,39.262199000000003,-107.428938000000000,73,73,1343487,0.002644727070360,-107.428938000000000,39.262199000000003,-107.427185877000000,39.264180072000002,48.509434301600002,1343487,0.051400088753700,3180760, ,-9999
74,COLBAKCO,40.325817999999998,-105.856679000000000,74,74,1601578,0.000325940778152,-105.856679000000000,40.325817999999998,-105.857000279000000,40.325763070999997,-170.297959752000000,1601578,0.050394689449500,1234461,       09010500,-9999
75,COLNGBCO,40.120818999999997,-105.900569000000000,75,75,1601571,0.000124361258799,-105.900569000000000,40.120818999999997,-105.900655927000000,40.120907934800002,134.345926638000010,1601571,0.053766778003600,1234513,       09019500,-9999
76,EASINLET,40.236922999999997,-105.801165999999990,76,76,1601877,0.000470498165199,-105.801165999999990,40.236922999999997,-105.801009468000000,40.236479303700001,-70.567667729899995,1601877,0.007810022857220,1234493, ,-9999
77,FRATABCO,40.006892000000001,-105.848271999999990,77,77,1601553,0.000039322913357,-105.848271999999990,40.006892000000001,-105.848310815999990,40.006885704600002,-170.787585597000000,1601553,0.084548950768500,1234355,       09033300,-9999
78,RANMEACO,39.999006000000001,-105.828093999999990,78,78,1601562,0.000191450347888,-105.828093999999990,39.999006000000001,-105.828051943999990,39.999192774100003,77.310453023600004,1601562,0.017888153965300,1239233,       09033100,-9999
79,WILDARCO,39.797193999999998,-106.025639000000000,79,79,1347710,0.000233053241753,-106.025639000000000,39.797193999999998,-106.025502239000010,39.797382706500002,54.068026754400002,1347710,0.040684296420000,1238141,       09035700,-9999
80,BIGUPPCO,39.131923999999998,-107.918678000000000,80,80,1340942,0.000202812963089,-107.918678000000000,39.131923999999998,-107.918831972000010,39.131791993999997,-139.392358467000010,1340942,0.051892152746200,3180916, ,-9999
