,FID,DWR_ID,Latitude,Longitude,OID_,IN_FID,NEAR_FID,NEAR_DIST,FROM_X,FROM_Y,NEAR_X,NEAR_Y,NEAR_ANGLE,OBJECTID,Shape_Leng,ID,gages,NHDWaterbo
81,150,MVIDIVCO,37.470823,-108.530096,150,150,961692,0.00178680518864,-108.530096,37.470823,-108.528309502,37.4707898454,-1.06319761284,961692,0.00548075355793,18385375, ,-9999
82,151,UCANALCO,37.512489,-108.597872,151,151,962502,0.00369194315393,-108.597872,37.512489,-108.601023208,37.5144126256,148.598406657,962502,0.013706672369,3261243, ,-9999
83,152,PINDITCO,37.291935,-108.035911,152,152,964270,0.00487292103464,-108.035911,37.291935,-108.040341809,37.289906875,-155.404893645,964270,0.0561779626948,16998670, ,-9999
84,153,LITOSOCO,37.075556,-106.811148,153,153,966849,0.0016317064932,-106.811148,37.075556,-106.811836654,37.077035264,114.963778498,966849,0.0462863576351,17037067, ,-9999
85,154,LOSODVCO,37.077223,-106.811154,154,154,966849,0.000205163361655,-106.811154,37.077223,-106.811274502,37.077389046,125.968947222,966849,0.0462863576351,17037067, ,-9999
86,155,PLAKERCO,40.411926,-104.562737,155,155,1597349,0.000236572254741,-104.562737,40.411926,-104.562925663,40.411783267,-142.890668154,1597349,0.0627429173571,226565, ,-9999
87,156,BURCANCO,39.792206,-104.966922,156,156,1349479,0.000463013035854,-104.966922,39.792206,-104.96730315,39.7924688794,145.405966255,1349479,0.0493200758951,229757, ,-9999
88,158,FULDITCO,39.878035,-104.901647,158,158,1597985,0.00187513644406,-104.901647,39.878035,-104.903156681,39.879147205,143.62035952,1597985,0.0117612095639,229561, ,-9999
89,159,PLAHENCO,39.921928,-104.868866,159,159,1597984,2.3993907354e-05,-104.868866,39.921928,-104.868877128,39.9219492572,117.632325291,1597984,0.0622145719013,229493, ,-9999
90,160,BIGDAFCO,40.069149,-104.831642,160,160,1596968,0.000307023873583,-104.831642,40.069149,-104.831769442,40.0688696754,-114.524824495,1596968,0.0107586966279,225687,       06720990,-9999
91,161,EVANS2CO,40.128313,-104.815249,161,161,1596984,0.000480058932025,-104.815249,40.128313,-104.815596316,40.1279815965,-136.343039365,1596984,0.0112064030278,225573, ,-9999
92,162,WESDITCO,40.234428,-104.874972,162,162,1598075,0.0108793740646,-104.874972,40.234428,-104.864092626,40.2344269726,-0.00541084918198,1598075,0.0613164871297,226531, ,-9999
93,163,CLAGRECO,40.417759,-104.639961,163,163,1597402,0.00030567052346,-104.639961,40.417759,-104.639858215,40.418046871,70.3507781399,1597402,0.0663221506702,2903261, ,-9999
94,164,BTABESCO,40.378317,-105.513887,164,164,1599428,0.000115874637302,-105.513887,40.378317,-105.513914717,40.3784295109,103.839139467,1599428,0.00607648840402,12936, ,-9999
95,165,BIGHILCO,40.38526,-105.01526,165,165,1598256,0.000138038404732,-105.01526,40.38526,-105.015136757,40.3851978256,-26.7702534928,1598256,0.00980194317771,940190144, ,-9999
96,166,HFCBBSCO,40.422205,-105.226382,166,166,1599400,0.000148124934837,-105.226382,40.422205,-105.226381912,40.4220568751,-89.9659338031,1599400,0.00158497630859,12674, ,-9999
97,167,HFCWASCO,40.419702,-105.225548,167,167,1599400,0.00192267174615,-105.225548,40.419702,-105.22503368,40.421554604,74.4842795544,1599400,0.00158497630859,12674, ,-9999
98,168,GRELOVCO,40.398312,-105.106647,168,168,1598362,0.000372203865536,-105.106647,40.398312,-105.106684032,40.397941643,-95.7100574953,1598362,0.00610018314831,12824, ,-9999
99,169,BTNFDRCO,40.433317,-105.338879,169,169,1599405,0.000382046411791,-105.338879,40.433317,-105.33907288,40.432987804,-120.495960188,1599405,0.0091984226913,12650, ,-9999
100,170,BTPPMCCO,40.420532,-105.219987,170,170,1599401,0.00157567963136,-105.219987,40.420532,-105.220864027,40.4218410415,123.82116121,1599401,0.0114003814796,12676, ,-9999
101,171,SVSLYOCO,40.2172,-105.259161,171,171,1598982,0.000802258649652,-105.259161,40.2172,-105.259697814,40.216603804,-131.99982541,1598982,0.00488005386081,2888654, ,-9999
102,172,BOSDELCO,39.931096,-105.295838,172,172,1599062,0.000486242123461,-105.295838,39.931096,-105.296055942,39.9306613361,-116.629349863,1599062,0.0212534646475,2891588, ,-9999
103,173,MOFTUNCO,39.901653,-105.645561,173,173,1600183,0.000346352442169,-105.645561,39.901653,-105.645378171,39.9013588341,-58.1383683945,1600183,0.0351469011511,2891348, ,-9999
104,174,CLEGLKCO,39.718876,-105.694448,174,174,1347598,3.2635236531e-05,-105.694448,39.718876,-105.694415523,39.7188727902,-5.64446804249,1347598,0.0106415735427,2885242, ,-9999
105,177,OHGJEFCO,39.391375,-105.826121,177,177,1347023,0.000452635990607,-105.826121,39.391375,-105.826444544,39.391058458,-135.626714349,1347023,0.110132774974,5239372, ,-9999
106,178,PLAHARCO,38.967492,-105.58139,178,178,1347932,0.000173294086078,-105.58139,38.967492,-105.581318961,38.9676500644,65.7994851616,1347932,0.0448605165374,5241238, ,-9999
107,181,PLAGRACO,39.457763,-105.660011,181,181,1347475,0.000432439776554,-105.660011,39.457763,-105.659893448,39.4581791558,74.2265318237,1347475,0.0271919053639,190273, ,-9999
108,182,ROBTUNCO,39.61693,-106.046407,182,182,1347874,0.00313229763608,-106.046407,39.61693,-106.046548392,39.6138008952,-92.5872157346,1347874,0.0486882324524,1313395, ,1312051
109,183,MONBMNCO,39.0875,-104.879167,183,183,1349593,8.4641431701e-05,-104.879167,39.0875,-104.879087764,39.0875297616,20.5863903112,1349593,0.0561656248908,1528177, ,-9999
110,185,UPBVCRCO,39.05919,-104.952481,185,185,1349665,0.00165688339173,-104.952481,39.05919,-104.953500834,39.0604958335,127.989239258,1349665,0.0675431080553,1528171, ,-9999
111,188,BUSTUNCO,39.248321,-106.470583,188,188,1344994,0.000564520642415,-106.470583,39.248321,-106.470180012,39.247925672,-44.4502525199,1344994,0.0500806995769,916805, ,-9999
